AccelX,AccelY,AccelZ,OldAX,OldAY,OldAZ,Old2AX,Old2AY,Old2AZ,AvgAX,AvgAY,AvgAZ,DX,DY,Dz
0.833,-1.0682,9.7608,0.5782,-0.8722,9.6236,0.5782,-0.8722,9.6236,0.663133,-0.937533,9.66933,-6.9713e+32,-0.262019,2.53105
0.6076,-1.1466,9.6334,0.833,-1.0682,9.7608,0.833,-1.0682,9.7608,0.757867,-1.09433,9.71833,-6.9713e+32,-0.267491,2.57964
-0.5684,-0.0196,9.5648,0.6076,-1.1466,9.6334,0.6076,-1.1466,9.6334,0.2156,-0.770933,9.61053,-6.9713e+32,-0.271346,2.62769
-0.2254,-0.7546,9.8686,-0.5684,-0.0196,9.5648,-0.5684,-0.0196,9.5648,-0.454067,-0.2646,9.66607,-6.9713e+32,-0.272669,2.67602
-0.147,-0.8624,9.9764,-0.2254,-0.7546,9.8686,-0.2254,-0.7546,9.8686,-0.199267,-0.790533,9.90453,-6.9713e+32,-0.276621,2.72554
-0.0686,-1.2544,9.8196,-0.147,-0.8624,9.9764,-0.147,-0.8624,9.9764,-0.120867,-0.993067,9.92413,-6.9713e+32,-0.281587,2.77516
0.3332,-0.9212,9.653,-0.0686,-1.2544,9.8196,-0.0686,-1.2544,9.8196,0.0653333,-1.14333,9.76407,-6.9713e+32,-0.287303,2.82398
0.5782,-1.1956,10.1822,0.3332,-0.9212,9.653,0.3332,-0.9212,9.653,0.414867,-1.01267,9.8294,-6.9713e+32,-0.292367,2.87313
0.7252,-1.1074,9.6236,0.5782,-1.1956,10.1822,0.5782,-1.1956,10.1822,0.6272,-1.1662,9.996,-6.9713e+32,-0.298198,2.92311
0.5292,-1.1858,9.7902,0.7252,-1.1074,9.6236,0.7252,-1.1074,9.6236,0.659867,-1.13353,9.67913,-6.9713e+32,-0.303865,2.97151
0.4606,-0.9996,9.8,0.5292,-1.1858,9.7902,0.5292,-1.1858,9.7902,0.506333,-1.12373,9.79347,-6.9713e+32,-0.309484,3.02047
0.343,-0.784,10.0058,0.4606,-0.9996,9.8,0.4606,-0.9996,9.8,0.4214,-0.927733,9.8686,-6.9713e+32,-0.314123,3.06982
0.9114,-0.6174,9.7804,0.343,-0.784,10.0058,0.343,-0.784,10.0058,0.532467,-0.728467,9.93067,-6.9713e+32,-0.317765,3.11947
1.1662,0.0196,9.0944,0.9114,-0.6174,9.7804,0.9114,-0.6174,9.7804,0.996333,-0.405067,9.55173,-6.9713e+32,-0.31979,3.16723
0.833,-0.6664,9.7804,1.1662,0.0196,9.0944,1.1662,0.0196,9.0944,1.05513,-0.209067,9.32307,-6.9713e+32,-0.320836,3.21384
1.6758,-0.8134,9.4374,0.833,-0.6664,9.7804,0.833,-0.6664,9.7804,1.11393,-0.7154,9.66607,-6.9713e+32,-0.324413,3.26217
0.9604,-1.2348,9.7902,1.6758,-0.8134,9.4374,1.6758,-0.8134,9.4374,1.43733,-0.953867,9.555,-6.9713e+32,-0.329182,3.30995
0.5194,-1.6954,10.0352,0.9604,-1.2348,9.7902,0.9604,-1.2348,9.7902,0.8134,-1.38833,9.87187,-6.9713e+32,-0.336124,3.35931
0.8428,-1.96,9.6922,0.5194,-1.6954,10.0352,0.5194,-1.6954,10.0352,0.6272,-1.7836,9.92087,-6.9713e+32,-0.345042,3.40891
1.0878,-1.862,9.2414,0.8428,-1.96,9.6922,0.8428,-1.96,9.6922,0.924467,-1.92733,9.54193,-6.9713e+32,-0.354678,3.45662
0.9898,-1.9698,9.5746,1.0878,-1.862,9.2414,1.0878,-1.862,9.2414,1.05513,-1.89793,9.35247,-6.9713e+32,-0.364168,3.50339
0.8722,-1.9698,9.7804,0.9898,-1.9698,9.5746,0.9898,-1.9698,9.5746,0.9506,-1.9698,9.6432,-6.9713e+32,-0.374017,3.5516
0.9016,-2.0188,9.5746,0.8722,-1.9698,9.7804,0.8722,-1.9698,9.7804,0.882,-1.98613,9.7118,-6.9713e+32,-0.383948,3.60016
0.5782,-2.0874,9.7314,0.9016,-2.0188,9.5746,0.9016,-2.0188,9.5746,0.7938,-2.04167,9.62687,-6.9713e+32,-0.394156,3.64829
1.0094,-2.3226,9.6236,0.5782,-2.0874,9.7314,0.5782,-2.0874,9.7314,0.721933,-2.1658,9.69547,-6.9713e+32,-0.404985,3.69677
1.2642,-2.0384,9.3394,1.0094,-2.3226,9.6236,1.0094,-2.3226,9.6236,1.09433,-2.22787,9.52887,-6.9713e+32,-0.416124,3.74442
0.7938,-1.9992,9.506,1.2642,-2.0384,9.3394,1.2642,-2.0384,9.3394,1.1074,-2.02533,9.39493,-6.9713e+32,-0.426251,3.79139
0.931,-1.8816,9.3296,0.7938,-1.9992,9.506,0.7938,-1.9992,9.506,0.839533,-1.96,9.4472,-6.9713e+32,-0.436051,3.83863
1.0682,-1.9894,9.7412,0.931,-1.8816,9.3296,0.931,-1.8816,9.3296,0.976733,-1.91753,9.4668,-6.9713e+32,-0.445639,3.88596
1.0682,-1.5974,9.6922,1.0682,-1.9894,9.7412,1.0682,-1.9894,9.7412,1.0682,-1.85873,9.72487,-6.9713e+32,-0.454932,3.93459
0.6958,-1.617,9.996,1.0682,-1.5974,9.6922,1.0682,-1.5974,9.6922,0.944067,-1.60393,9.79347,-6.9713e+32,-0.462952,3.98355
0.6174,-1.519,9.8686,0.6958,-1.617,9.996,0.6958,-1.617,9.996,0.669667,-1.58433,9.95353,-6.9713e+32,-0.470874,4.03332
0.6174,-1.176,9.7118,0.6174,-1.519,9.8686,0.6174,-1.519,9.8686,0.6174,-1.40467,9.81633,-6.9713e+32,-0.477897,4.0824
0.931,-1.127,9.359,0.6174,-1.176,9.7118,0.6174,-1.176,9.7118,0.721933,-1.15967,9.5942,-6.9713e+32,-0.483695,4.13037
0.6566,-0.9506,9.6824,0.931,-1.127,9.359,0.931,-1.127,9.359,0.839533,-1.0682,9.4668,-6.9713e+32,-0.489036,4.17771
